id,establishments,%chg_lq_estabishments
923,1916,10.01
924,268,23.51
925,988,14.82
926,396,20.1
927,5996,4.57
928,252,26.72
929,164,31.58
930,2126,8.63
931,370,24.83
932,2142,6.94
933,1584,11.08
934,1166,11.3
935,1326,11.93
936,306,17.34
937,214,23.52
938,488,11.57
939,604,12.86
940,132,27.01
941,416,22.13
942,190,23.95
943,412,18.14
944,1466,8.86
945,302,19.49
946,146,34.21
947,602,17.65
948,718,17.76
949,200,35.04
950,45858,2.64
951,260,20.1
952,470,22.81
953,216,25.62
954,938,14.51
955,160,24.13
956,2722,9.13
957,210,30.34
958,482,19.07
959,260,20.71
960,1672,9.85
961,1826,9.64
962,632,18.66
963,766,17.32
964,294,21.98
965,1592,8.44
966,512,17.74
967,3364,6.44
968,304,22.16
969,188,29.44
970,784,15.36
971,934,14.22
972,288,21.37
973,382,19.03
974,590,22.01
975,350,21.85
976,328,21.45
977,398,28.08
978,452,18.54
979,1268,9.47
980,690,11.43
981,244,23.07
982,3144,8.81
983,440,20.84
984,646,19.15
985,3300,6.66
986,388,23.4
987,204,30.04
988,572,18.64
989,2832,6.86
990,500,13.1
991,24792,3.84
992,1134,8.79
993,9854,6.35
994,252,20.43
995,530,13.45
996,308,20.55
997,346,28.16
998,196,20.28
999,378,15.2
1000,1048,15.19
1001,778,13.67
1002,254,22.11
1003,338,26.76
1004,180,22.87
1005,558,26.05
1006,216,16.49
1007,458,17
1008,196,24.06
1009,6590,4.56
1010,4174,6.04
1011,816,14.92
1012,628,11.74
1013,830,12.02
1014,370,18.12
1015,2126,10.85
1016,390,17.9
1017,1108,13.48
1018,9168,4.24
1019,1044,7.26
1020,3102,7.35
1021,1704,8.57
1022,314,18.48
1023,632,17.85
1024,710,15.97
1025,2712,6.22
1026,520,20.54
1027,676,14.1
1028,2068,8.25
1029,4562,5.21
1030,248,20.72
1031,636,14.64
1032,1086,11.85
1033,594,15.04
1034,3472,9.96
1035,1746,7.46
1036,770,16.33
1037,500,14.86
1038,346,16.87
1039,274,21.64
1040,5792,5.73
1041,320,21.26
1042,184,39.85
1043,436,17.23
1044,23024,3.77
1045,666,16.69
1046,1864,15.1
1047,4058,20.02
1048,382,15.81
1049,270,21.37
1050,642,11.41
1051,964,13.1
1052,1754,10.9
1053,1156,11.18
1054,396,16.99
1055,1204,11.26
1056,366,14.73
1057,5860,7.45
1058,964,20.24
1059,696,14.92
1060,664,15.14
1061,2330,7.26
1062,630,16.21
1063,200,26.63
1064,2138,11.89
1065,312,26.75
1066,52312,3.15
1067,2776,5.39
1068,1010,16.14
1069,8766,4.5
1070,528,25.7
1071,1170,13.81
1072,508,12.44
1073,3100,8.88
1074,530,14.29
1075,304,25
1076,342,25.53
1077,864,16.67
1078,422,17.99
1079,844,13.08
1080,410,22.15
1081,1278,8.94
1082,450,22.05
1083,4904,6.81
1084,494,17.24
1085,420,19.06
1086,4338,6.47
1087,418,17.3
1088,906,10.75
1089,1654,8.94
1090,360,19.07
1091,1074,10.08
1092,868,11.11
1093,204,27.64
1094,926,10.89
1095,390,16.03
1096,512,17.03
1097,1386,9.4
1098,442,27.37
1099,1222,13.24
1100,2458,7.22
1101,198,20.01
1102,858,13.36
1103,3448,5.78
1104,270,23.55
1105,166,29.78
1106,460,18.37
1107,1624,17.02
1108,2860,10.91
1109,500,17.08
1110,3410,8.51
1111,100,44.1
1112,506,18.63
1113,1262,14.75
1114,806,11.21
1115,2540,5.68
1116,2484,7.16
1117,1046,8.52
1118,648,11.14
1119,1474,10.6
1120,522,17.22
1121,546,14.43
1122,248,18
1123,670,14.72
